Student ID,First Name,Last Name,Email,Phone Number,Address,Date of Birth,Major,Year,GPA,Grade Math,Grade English,Grade History,Grade Science
4354,Александар,Јорданов,ortizrobin@thompson-murray.org,+1-484-685-3664x9878,"Thomas Mall 58273, Гостивар",2004-02-18,Физика,Четврта година,2.47,8.83,7.42,8.9,8.23
3267,Јован,Колевски,jacobjames@henry.org,(082)973-7489,"April Springs 258, Скопје",2004-04-09,Биологија,Втора година,2.69,9.07,7.57,8.37,9.44
6487,Никола,Јаневски,dhansen@gmail.com,001-690-835-7232x46651,"Stephanie Route 11926, Гостивар",2004-02-22,Инженерство,Трета година,2.95,6.35,8.13,6.41,8.14
4909,Христина,Ивановски,moorekevin@flowers.com,+1-364-424-9363x1230,"Dennis Turnpike 962, Скопје",2001-10-05,Компјутерски науки,Четврта година,2.71,8.02,6.27,9.68,6.74
9841,Славица,Петровски,traviswatts@gmail.com,477.866.0324,"Heather Lodge 25431, Скопје",2005-03-30,Физика,Четврта година,3.3,9.73,6.92,9.16,7.2
2860,Дејан,Митрев,hubbardtrevor@george.org,(044)820-7001,"Richard Forest 878, Прилеп",2000-12-22,Компјутерски науки,Трета година,2.96,7.28,8.17,6.09,7.24
8839,Петар,Кузмановски,ooneill@hotmail.com,941-651-6231x98189,"Sandy Camp 270, Велес",1999-02-23,Компјутерски науки,Четврта година,3.17,8.38,7.73,8.61,7.59
4437,Лазар,Ивановски,brooksjessica@gmail.com,001-847-139-1559x63632,"Brown Mews 39726, Куманово",1999-06-19,Инженерство,Втора година,3.47,7.48,7.33,9.08,7.71
4693,Никола,Трајковски,bonniethomas@yahoo.com,234-764-9078,"Caldwell Estates 799, Скопје",1999-07-20,Инженерство,Втора година,3.12,7.82,8.92,7.5,9.2
6250,Олга,Марковски,frank45@fields-friedman.com,(158)673-4257x540,"Caitlyn Stravenue 9145, Охрид",1998-07-09,Инженерство,Трета година,3.17,8.19,8.77,6.28,7.4
6778,Чедомир,Ивановски,alyssa18@gmail.com,+1-900-348-6451x8376,"Michelle Cliffs 5804, Охрид",2000-01-09,Биологија,Прва година,3.13,8.2,6.67,6.31,7.87
5380,Филип,Симоновски,georgegary@brennan-serrano.com,6441343275,"Ramirez Stream 3356, Гостивар",1999-05-09,Биологија,Четврта година,2.76,6.81,9.51,6.42,8.5
9250,Александар,Ристевски,cody95@gmail.com,001-604-177-6561x24815,"Douglas Groves 763, Прилеп",2005-05-05,Биологија,Втора година,2.67,8.74,7.98,9.36,7.51
7929,Јован,Митрев,aprilwatson@jenkins-mccall.com,(985)700-2720x63459,"Antonio Port 42177, Охрид",1998-07-15,Физика,Втора година,3.8,6.35,8.97,9.64,9.35
5540,Жарко,Ивановски,ericwalker@pope.org,123-829-6577,"Kent Loaf 57173, Прилеп",2004-04-27,Компјутерски науки,Втора година,3.22,6.56,8.29,6.49,8.35
1892,Виктор,Ивановски,estevens@fuentes.info,001-242-954-3165x2669,"John Run 02041, Велес",2000-01-01,Инженерство,Втора година,2.49,6.01,9.99,6.94,7.18
2038,Александар,Колевски,hannah27@hotmail.com,008.931.7342,"Waters Brook 2006, Штип",2005-09-15,Инженерство,Четврта година,3.0,6.47,9.01,6.66,8.86
7108,Шенол,Симоновски,jenniferjohnson@gmail.com,6969421529,"Powell Stream 83067, Битола",1998-08-18,Инженерство,Прва година,2.66,7.89,8.83,6.75,8.11
6656,Зоран,Симоновски,melissathomas@parker.com,086-771-3334,"Waters Brook 2006, Штип",2000-03-07,Биологија,Четврта година,3.87,8.42,9.11,9.35,8.14
8412,Ристе,Марковски,yvazquez@jones.biz,762-639-3436x2620,"Stephanie Route 11926, Гостивар",2002-06-29,Биологија,Четврта година,2.02,9.18,6.57,7.33,7.92
8966,Филип,Поповски,danielmcguire@watkins.com,439-735-9710x7256,"Ford Dam 625, Велес",2003-12-02,Биологија,Трета година,2.45,6.43,6.82,7.25,7.99
9215,Коста,Јорданов,elizabeth11@harris.com,+1-366-941-1800x53759,"Stephen Fields 543, Куманово",1999-08-20,Инженерство,Втора година,2.73,9.4,8.86,6.91,9.06
9629,Никола,Ивановски,thomasjulie@rush-bailey.com,+1-900-489-6465x28092,"Kent Loaf 57173, Прилеп",2003-12-05,Математика,Втора година,2.98,8.98,7.98,8.43,6.41
3010,Тодор,Ивановски,garciabelinda@rice.com,287-572-1586x241,"Patricia Ramp 90600, Велес",2000-06-16,Компјутерски науки,Прва година,3.7,7.63,9.02,7.52,7.34
8703,Коста,Димитров,rachelmedina@hotmail.com,027-456-4494x85625,"Paula Square 44717, Штип",2002-02-08,Биологија,Прва година,2.18,9.73,6.41,8.98,6.3
9714,Филип,Стојановски,samanthayork@richardson-lawrence.info,001-728-703-2032x0742,"Miller Avenue 19467, Прилеп",2005-07-25,Компјутерски науки,Трета година,3.61,9.96,8.15,6.82,9.01
9730,Филип,Јаневски,maryzavala@lewis-perez.com,001-761-707-5877x712,"Sara Fall 07811, Тетово",2003-09-23,Инженерство,Трета година,2.11,6.82,7.52,9.15,7.09
5788,Шенол,Петровски,owensapril@yahoo.com,513-422-8499,"Nelson Unions 49673, Гостивар",2005-09-13,Биологија,Трета година,3.68,7.52,7.83,8.41,9.59
8405,Коста,Трајковски,angela01@yahoo.com,908.926.1371,"Connor Place 569, Штип",2005-02-13,Физика,Втора година,2.1,9.71,8.42,6.46,8.11
7031,Петар,Ивановски,cruzstephen@hotmail.com,041-659-1520x17774,"Thomas Mall 58273, Гостивар",2002-12-25,Биологија,Втора година,2.04,8.89,8.01,7.66,9.2
2075,Тодор,Кузмановски,aperez@yahoo.com,+1-050-975-9230x450,"Schwartz Shores 4214, Скопје",2000-01-10,Компјутерски науки,Прва година,3.39,6.19,8.16,9.45,9.92
4085,Христина,Митрев,melissajacobson@yahoo.com,001-189-616-4236x1032,"Connor Place 569, Штип",1999-02-18,Физика,Прва година,3.99,9.13,7.95,9.69,9.36
8501,Цветан,Петровски,alexandercraig@hotmail.com,(642)147-6492x5158,"Robinson Row 74101, Битола",2000-12-16,Инженерство,Трета година,3.79,9.31,7.64,7.86,9.47
2430,Ристе,Ивановски,qkim@miller.org,776.749.9616,"Christopher Walks 739, Велес",2004-12-12,Инженерство,Четврта година,3.15,9.0,9.09,7.92,7.63
2313,Славица,Димитров,calvinhester@gonzalez-anthony.biz,(926)610-8573x278,"Angela Fields 81958, Кавадарци",2002-05-05,Компјутерски науки,Прва година,3.83,9.2,6.05,9.67,8.21
7400,Олга,Ристевски,maryhardy@hubbard-miranda.org,+1-814-761-7422x4386,"Caitlyn Stravenue 9145, Охрид",1999-08-30,Инженерство,Втора година,2.01,9.3,8.39,8.35,7.02
3929,Олга,Симоновски,qkelly@hotmail.com,908-108-1866x1794,"Ronald Lock 1773, Битола",2002-06-07,Биологија,Прва година,3.95,6.75,8.26,6.13,6.78
